Index,description,milePost,publicVideoURL,lat,lon,routePrefix,routeSuffix,routeNumber,cameraCategories,cctvIp,commMode,opStatus,name,id,lastCachedDataUpdateTime
18,US 301 AT MD 304 QUEEN ANNE SAFETY DR TWR,104.15,https://chart.maryland.gov/Video/GetVideo/e30009710093007b00488436cf235d0a,39.03072,-76.01932,US,,301,['Eastern Shore'],strmr5.sha.maryland.gov,ONLINE,OK,217001,e30009710093007b00488436cf235d0a,1729719295987
19,I-270 & W Diamond Ave (MD 117)(CAM 86),10.85,https://chart.maryland.gov/Video/GetVideo/9201113c036b0075004d823633235daa,39.14018,-77.213234,IS,,270,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,I-270 & W Diamond Ave (MD 117),9201113c036b0075004d823633235daa,1729719295987
20,"I-95 NB, N of Chesaco Ave MM 62.0 (C027B)",76.43,https://chart.maryland.gov/Video/GetVideo/5e0044bd00b400a5004e3336c4235c0a,39.332695,-76.519226,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,"I-95 NB, N of Chesaco Ave (C-027B)  MM 62.0",5e0044bd00b400a5004e3336c4235c0a,1729719295987
21,Rockville Pk (MD 355) & Cedar La (CAM 36),3.2,https://chart.maryland.gov/Video/GetVideo/ca014d5302510075004d823633235daa,39.006138,-77.0978,MD,,355,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,Rockville Pk (MD 355) & Cedar La,ca014d5302510075004d823633235daa,1729719295987
22,US 50 AT MD 16,90.19,https://chart.maryland.gov/Video/GetVideo/38011b2d014900d10058fa36c4235c0a,38.55438,-76.04802,US,,50,['Eastern Shore'],strmr3.sha.maryland.gov,ONLINE,OK,109002,38011b2d014900d10058fa36c4235c0a,1729719295987
23,US 50 AT MD 589 RACETRACK RD,144.93,https://chart.maryland.gov/Video/GetVideo/db00fc6700950030005dd336c4235c0a,38.34673,-75.168526,US,,50,['Eastern Shore'],strmr3.sha.maryland.gov,ONLINE,OK,123008,db00fc6700950030005dd336c4235c0a,1729719295987
24,US 301 AT HOPE RD,105.42,https://chart.maryland.gov/Video/GetVideo/8800ee33009000070053fa36c4235c0a,39.046833,-76.00824,US,,301,['Eastern Shore'],strmr3.sha.maryland.gov,ONLINE,OK,RWIS US 301 AT MD 305,8800ee33009000070053fa36c4235c0a,1729719295987
25,ICC MD 200 WB W OF I-95 MM 18.1 (C224),18.16,https://chart.maryland.gov/Video/GetVideo/c8008761001f00bd004e3336c4235c0a,39.074863,-76.91397,MD,,200,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,ICC MD 200W W of I95 MM 18.1 (C224),c8008761001f00bd004e3336c4235c0a,1729719295987
26,I-70 E OF PATAPSCO RIVER BR,89.24,https://chart.maryland.gov/Video/GetVideo/e7015d5b0020005a005fd336c4235c0a,39.30705,-76.78823,IS,,70,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,OK,403048,e7015d5b0020005a005fd336c4235c0a,1729719295987
27,MD 235 AT ST ANDREWS CHURCH RD,16.61,https://chart.maryland.gov/Video/GetVideo/fdffe2b9008b00070053fa36c4235c0a,38.30365,-76.52007,MD,,235,['Southern MD'],strmr3.sha.maryland.gov,ONLINE,OK,MD 235 AT MD 4  (518004),fdffe2b9008b00070053fa36c4235c0a,1729719295987
28,I-97 S OF EXIT 7 MD 32,6.5,https://chart.maryland.gov/Video/GetVideo/3b009d0700e600e30051fa36c4235c0a,39.056686,-76.63118,IS,,97,['Annapolis'],strmr3.sha.maryland.gov,ONLINE,COMM_MARGINAL,502023,3b009d0700e600e30051fa36c4235c0a,1729719295987
29,MD 528 AT 65TH ST TWR,11.7,https://chart.maryland.gov/Video/GetVideo/e0002c470097007b00488436cf235d0a,38.388435,-75.068146,MD,,90,['Eastern Shore'],strmr5.sha.maryland.gov,ONLINE,COMM_MARGINAL,MD 528 AT 65TH ST TWR (123002),e0002c470097007b00488436cf235d0a,1729719295987
30,I-83 North past Padonia Rd,14.3,https://chart.maryland.gov/Video/GetVideo/0a004caa01af00b1005dd336c4235c0a,39.456966,-76.65037,IS,,83,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,403040,0a004caa01af00b1005dd336c4235c0a,1729719295987
31,US 15 AT ST ANTHONY RD,32.59,https://chart.maryland.gov/Video/GetVideo/61000ccc01a9000b0057fa36c4235c0a,39.665695,-77.36801,US,,15,['Western MD'],strmr3.sha.maryland.gov,ONLINE,OK,US 15 AT ST. ANTHONY RD (710006),61000ccc01a9000b0057fa36c4235c0a,1729719295987
32,I-83 S OF OLD PIMLICO RD,7.6,https://chart.maryland.gov/Video/GetVideo/63001ed500b100ba004e3436c4235c0a,39.382984,-76.66165,IS,,83,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,OK,403044,63001ed500b100ba004e3436c4235c0a,1729719295987
33,RWIS US 50 AT KENT NARROWS BRG,50.5,https://chart.maryland.gov/Video/GetVideo/3c0090ba006f00b60050fa36c4235c0a,38.971066,-76.24922,US,,50,['Eastern Shore'],strmr3.sha.maryland.gov,ONLINE,OK,RWIS US 50 AT KENT NARROWS,3c0090ba006f00b60050fa36c4235c0a,1729719295987
34,US 50 WEST AT MD 8,46.44,https://chart.maryland.gov/Video/GetVideo/afff87a5004900820062d336c4235c0a,38.97889,-76.32175,US,,50,['Eastern Shore'],strmr3.sha.maryland.gov,ONLINE,OK,217011,afff87a5004900820062d336c4235c0a,1729719295987
35,I-83 N OF EX 16 TIMONIUM RD,13.1,https://chart.maryland.gov/Video/GetVideo/9400051b01db00e6005cd336c4235c0a,39.444977,-76.635345,IS,,83,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,403043,9400051b01db00e6005cd336c4235c0a,1729719295987
36,I-83 at Shawan Rd,17.3,https://chart.maryland.gov/Video/GetVideo/74000dda01980041005dd336c4235c0a,39.497402,-76.66796,IS,,83,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,403025,74000dda01980041005dd336c4235c0a,1729719295987
37,I-95 N of Md 279 Ex 109 (C001) MP 108.4,123.18,https://chart.maryland.gov/Video/GetVideo/0f019fd7443a0032004606363d235daa,39.640556,-75.80155,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,I-95 N OF MD 279 EX 109 (C-001),0f019fd7443a0032004606363d235daa,1729719295987
38,I-95/495 AT EXIT 13 (Ritchie Marlboro Rd),13.2,https://chart.maryland.gov/Video/GetVideo/6501d25801f700d700437a45351f0214,38.869816,-76.843704,IS,,95,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,COMM_MARGINAL,I-95/495 AT EXIT 13 (316007),6501d25801f700d700437a45351f0214,1729719295987
39,"I-95 N Past Cowenton Ave, MM 67.9 (C021B)",82.43,https://chart.maryland.gov/Video/GetVideo/3401cf1d00fc007b0054fa36c4235c0a,39.388836,-76.438065,IS,,95,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,OK,I-95 N PAST COWENTON RD (C-021B),3401cf1d00fc007b0054fa36c4235c0a,1729719295987
40,WPL C510 at Gantry S-15 MP 35.0,44.0,https://chart.maryland.gov/Video/GetVideo/a800e0862df8001700503336c4235c0a,38.988728,-76.362816,US,,50,['Annapolis'],strmr3.sha.maryland.gov,ONLINE,OK,WPL C-510 at Gantry S-15 MP 35.0,a800e0862df8001700503336c4235c0a,1729719295987
41,I-495 S. of Ex 39 MD 190 River Rd,1.11,https://chart.maryland.gov/Video/GetVideo/d401425800f700d700437a45351f0214,38.98167,-77.172615,IS,,495,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,315008,d401425800f700d700437a45351f0214,1729719295987
42,US 1 AT MD 103,21.17,https://chart.maryland.gov/Video/GetVideo/e300825d004600030065d336c4235c0a,39.184017,-76.7639,US,,1,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,US 1 AT MD 103 (713037),e300825d004600030065d336c4235c0a,1729719295987
43,MD 100 West of MD 295,8.01,https://chart.maryland.gov/Video/GetVideo/df0171e70067006b005fd336c4235c0a,39.17358,-76.73654,MD,,100,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,COMM_MARGINAL,502028,df0171e70067006b005fd336c4235c0a,1729719295987
44,I-95 S OF I-195 (403028),46.43,https://chart.maryland.gov/Video/GetVideo/9d010b5800f700d700437a45351f0214,39.235092,-76.7109,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,I-95 S OF I-195 (403028),9d010b5800f700d700437a45351f0214,1729719295987
45,"I-695 O/L, Prior to I-95, Exit 33 (C025A), MP32.8",32.03,https://chart.maryland.gov/Video/GetVideo/23011ea3006a0009004c06363d235daa,39.342945,-76.493706,IS,,695,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,I-695 O/L Prior to I-95 (C-025A),23011ea3006a0009004c06363d235daa,1729719295987
46,US 29 AT MIDDLE PATUXENT RIVER,15.45,https://chart.maryland.gov/Video/GetVideo/7e016080007e00690061d336c4235c0a,39.16754,-76.884445,US,,29,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,OK,RWIS US 29 AT MIDDLE PATUXENT RIVER,7e016080007e00690061d336c4235c0a,1729719295987
47,I-95 AT MD 212,28.54,https://chart.maryland.gov/Video/GetVideo/f701655800f700d700437a45351f0214,39.05101,-76.93024,IS,,95,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,I-95 AT MD 212 (316005),f701655800f700d700437a45351f0214,1729719295987
48,I-70 West of Mt Phillip Rd,49.73,https://chart.maryland.gov/Video/GetVideo/30001ac501a600d60057fa36c4235c0a,39.41592,-77.47652,IS,,70,['Western MD'],strmr3.sha.maryland.gov,ONLINE,OK,710007,30001ac501a600d60057fa36c4235c0a,1729719295987
49,WPL C-501 at Gantry N-1,51.84,https://chart.maryland.gov/Video/GetVideo/31017318000800e50063d336c4235c0a,39.009583,-76.40449,US,,50,['Annapolis'],strmr3.sha.maryland.gov,ONLINE,OK,WPL C-501 at Gantry N-1,31017318000800e50063d336c4235c0a,1729719295987
50,I-95 S of Md 543 Ex 80 (C017) MP 80.0,94.56,https://chart.maryland.gov/Video/GetVideo/ef013c29023c0160004806363d235daa,39.48325,-76.25565,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,C017,ef013c29023c0160004806363d235daa,1729719295987
51,MD 543 AT MD 136,3.63,https://chart.maryland.gov/Video/GetVideo/40001fe400c000580045e2369e235daa,39.5075,-76.26972,MD,,543,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,MD 543 AT MD 136 (412005),40001fe400c000580045e2369e235daa,1729719295987
52,RWIS MD 344 at MD 224,14.82,https://chart.maryland.gov/Video/GetVideo/2900b9a9008d00680055fa36c4235c0a,38.520126,-77.23311,MD,,224,['Southern MD'],strmr3.sha.maryland.gov,ONLINE,OK,RWIS MD 344 AT MD 224,2900b9a9008d00680055fa36c4235c0a,1729719295987
53,RWIS I-97 AT MD 32,7.2,https://chart.maryland.gov/Video/GetVideo/dd00bf3a00ea002a0053fa36c4235c0a,39.063766,-76.64365,IS,,97,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,OK,RWIS I-97 AT MD 32,dd00bf3a00ea002a0053fa36c4235c0a,1729719295987
54,I-95 N of MD 152 (C020) MP 74.2,89.0,https://chart.maryland.gov/Video/GetVideo/0901cb3400e80039004606363d235daa,39.44223,-76.34337,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,C020,0901cb3400e80039004606363d235daa,1729719295987
55,MD 33 AT KNAPPS NARROWS BRIDGE,0.8,https://chart.maryland.gov/Video/GetVideo/cf00ee7505b600e20052fa36c4235c0a,38.7189,-76.33297,MD,,33,['Eastern Shore'],strmr3.sha.maryland.gov,ONLINE,OK,RWIS MD 33 AT KNAPPS NARROWS BRIDGE,cf00ee7505b600e20052fa36c4235c0a,1729719295987
56,I-95 S of Md 222 (C008) MP 93.2,107.85,https://chart.maryland.gov/Video/GetVideo/df00815800e40039004606363d235daa,39.593437,-76.06675,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,C008,df00815800e40039004606363d235daa,1729719295987
57,"I-95N ML @ I-695, MP 63.7(C024C)",78.18,https://chart.maryland.gov/Video/GetVideo/de00376802d0009e0052fa36c4235c0a,39.350266,-76.49814,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,I-95 N ETL AT I-695 (C-024C),de00376802d0009e0052fa36c4235c0a,1729719295987
58,I-695 I/L AT EX 20 MD 140,15.88,https://chart.maryland.gov/Video/GetVideo/8c0032ca00e100aa004e3436c4235c0a,39.384308,-76.73388,IS,,695,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,OK,I-695 I/L AT EX 20 MD 140 (403042),8c0032ca00e100aa004e3436c4235c0a,1729719295987
59,I-95/495 on W.W. Brg MD,0.6,https://chart.maryland.gov/Video/GetVideo/e700100700340088004502366d235daa,38.792786,-77.03535,IS,,95,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,COMM_FAILURE,I-95/495 ON W.W. BRG MD (316003),e700100700340088004502366d235daa,1729719295987
60,I-695 AT COVE RD,6.49,https://chart.maryland.gov/Video/GetVideo/2301638a0027005a005fd336c4235c0a,39.27813,-76.472374,MD,,695,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,COMM_FAILURE,I-695 AT COVE ROAD (403049),2301638a0027005a005fd336c4235c0a,1729719295987
61,"I-83 N OF EX 27 MD 137, HEREFORD TWR",24.44,https://chart.maryland.gov/Video/GetVideo/b0001b4e006c00800045833633235daa,39.59347,-76.67026,IS,,83,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,403026,b0001b4e006c00800045833633235daa,1729719295987
62,"I-95 N Prior to Exit 67 MD 43, MM 66.8 (C022C)",81.33,https://chart.maryland.gov/Video/GetVideo/6401c95400fb007b0054fa36c4235c0a,39.376728,-76.45072,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,I-95 N PRIOR TO EXIT 67 MD 43 (C-022C),6401c95400fb007b0054fa36c4235c0a,1729719295987
63,US 13 AT MD 12,31.97,https://chart.maryland.gov/Video/GetVideo/7000ead800c20039005dd336c4235c0a,38.33332,-75.56906,US,,13,['Eastern Shore'],strmr3.sha.maryland.gov,ONLINE,COMM_MARGINAL,US 13 AT MD 12 (122005),7000ead800c20039005dd336c4235c0a,1729719295987
64,US 113 BUS AT MD 12,12.73,https://chart.maryland.gov/Video/GetVideo/850075ae000600a50061d336c4235c0a,38.176746,-75.39174,MD,,12,['Eastern Shore'],strmr3.sha.maryland.gov,ONLINE,OK,US 113 BUS AT MD 12 (123009),850075ae000600a50061d336c4235c0a,1729719295987
65,US 40 AT MD 755,188.96,https://chart.maryland.gov/Video/GetVideo/c300873b00c10058004506363d235daa,39.436573,-76.30727,US,,40,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,US 40 AT MD 755 (412010),c300873b00c10058004506363d235daa,1729719295987
66,Garrett A. Morgan Blvd at Ridgefield Blvd,0.0,https://chart.maryland.gov/Video/GetVideo/ef00c25800a7005c0055fa36c4235c0a,38.897903,-76.86534,,,0,['Wash. DC'],strmr10.sha.maryland.gov,ONLINE,OK,Garrett A. Morgan Blvd at Ridgefield Blvd,ef00c25800a7005c0055fa36c4235c0a,1729719295987
67,US 40 S Pier #35 Hatem Br (C064),204.09,https://chart.maryland.gov/Video/GetVideo/a50136f124680007004806363d235daa,39.563393,-76.084175,US,,40,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,US 40 S PIER #35 HATEM BR (C-064),a50136f124680007004806363d235daa,1729719295987
68,RWIS US 1 AT CONOWINGO,71.93,https://chart.maryland.gov/Video/GetVideo/d4ffb40500a300ab0050fa36c4235c0a,39.664913,-76.17158,US,,1,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,OK,RWIS US 1 AT CONOWINGO,d4ffb40500a300ab0050fa36c4235c0a,1729719295987
69,I-895 AT I-95 INTERCHANGE MP 0.3,0.2,https://chart.maryland.gov/Video/GetVideo/c200dc0dc37401b8004606363d235daa,39.22272,-76.71955,IS,,895,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,COMM_FAILURE,I-895 AT I-95  (C-043),c200dc0dc37401b8004606363d235daa,1729719295987
70,US 1 North of MD 32,17.21,https://chart.maryland.gov/Video/GetVideo/2001747300a200dc0065d336c4235c0a,39.14189,-76.81051,US,,1,['Baltimore'],strmr3.sha.maryland.gov,ONLINE,OK,713031,2001747300a200dc0065d336c4235c0a,1729719295987
71,I-95 N of Rossville Blvd  (C024) MP 64.4,78.94,https://chart.maryland.gov/Video/GetVideo/36008da300e40039004606363d235daa,39.35603,-76.485886,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,C024,36008da300e40039004606363d235daa,1729719295987
72,"ICC MD 200 WB E OF MUNCASTER, MM 6.5 (C211)",6.5,https://chart.maryland.gov/Video/GetVideo/800026950585004b004d06363d235daa,39.12645,-77.10358,MD,,200,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,"ICC MD 200 WB E OF MUNCASTER, MM 6.5 (C-211)",800026950585004b004d06363d235daa,1729719295987
73,Connecticut Ave (MD 185) at East West Hwy (MD 410)(CAM 15),0.99,https://chart.maryland.gov/Video/GetVideo/0b01b57900060075004d823633235daa,38.987637,-77.077736,MD,,410,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,Connecticut Ave (MD 185) at East West Hwy (MD 410),0b01b57900060075004d823633235daa,1729719295987
74,I-68 at Blooming Rose Rd,2.15,https://chart.maryland.gov/Video/GetVideo/89006627008a00be005ed336c4235c0a,39.652786,-79.439224,IS,,68,['Western MD'],strmr3.sha.maryland.gov,ONLINE,OK,611008,89006627008a00be005ed336c4235c0a,1729719295987
75,US 29 AT MD 100,22.45,https://chart.maryland.gov/Video/GetVideo/49015d61002200b4005fd336c4235c0a,39.25518,-76.821526,US,,29,['Wash. DC'],strmr3.sha.maryland.gov,ONLINE,OK,US 29 AT MD 100 (713021),49015d61002200b4005fd336c4235c0a,1729719295987
76,Rockville Pk (MD 355) & Congressional La (CAM 3),7.57,https://chart.maryland.gov/Video/GetVideo/5601494900ee0074004d823633235daa,39.063976,-77.12631,MD,,355,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,Rockville Pk (MD 355) & Congressional La,5601494900ee0074004d823633235daa,1729719295987
77,"ICC MD 200 EB, DECKOVER APPROACH, MM 4.4 (C205)",4.42,https://chart.maryland.gov/Video/GetVideo/550255680555004e004d06363d235daa,39.138603,-77.13676,MD,,200,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,"ICC MD 200 EB, DECKOVER APPROACH, MM 4.4 (C-205)",550255680555004e004d06363d235daa,1729719295987
78,US 301 HWN BRIDGE G7,1.9,https://chart.maryland.gov/Video/GetVideo/d7017729004b00330063d336c4235c0a,38.363865,-76.98068,US,,301,['Southern MD'],strmr3.sha.maryland.gov,ONLINE,OK,US 301 HWN BRIDGE G7 C-307,d7017729004b00330063d336c4235c0a,1729719295987
79,MD 22 AT SHUCKS RD,3.6,https://chart.maryland.gov/Video/GetVideo/e8ff1a9100c000580045e2369e235daa,39.554974,-76.28639,MD,,22,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,412002,e8ff1a9100c000580045e2369e235daa,1729719295987
80,"I-95N GP AT I-695, MP 63.9 (C024B)",78.35,https://chart.maryland.gov/Video/GetVideo/0000309302ce009e0052fa36c4235c0a,39.350952,-76.494606,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,I-95 N AT I-695 (C-024B),0000309302ce009e0052fa36c4235c0a,1729719295987
81,I-895 at Moravia Rd (C029) MP14.1,14.03,https://chart.maryland.gov/Video/GetVideo/7f01597a018d00e300441a366e230214,39.312534,-76.540276,IS,,895,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,I-895 AT MORAVIA RD (C-029),7f01597a018d00e300441a366e230214,1729719295987
82,RWIS MD 260 at Cox Rd,9.47,https://chart.maryland.gov/Video/GetVideo/dcffb99000fa00c80054fa36c4235c0a,38.696384,-76.54041,MD,,260,['Southern MD'],strmr3.sha.maryland.gov,ONLINE,OK,RWIS MD 260 AT COX ROAD,dcffb99000fa00c80054fa36c4235c0a,1729719295987
83,I-68 at Savage Mountain Tower,30.3,https://chart.maryland.gov/Video/GetVideo/8b00feac006f00c0005cd336c4235c0a,39.674232,-78.96225,IS,,68,['Western MD'],strmr5.sha.maryland.gov,ONLINE,OK,611001,8b00feac006f00c0005cd336c4235c0a,1729719295987
84,US 301 HWN BRIDGE G16,0.1,https://chart.maryland.gov/Video/GetVideo/7501a7710078002c0063d336c4235c0a,38.359997,-77.01261,US,,301,['Southern MD'],strmr3.sha.maryland.gov,ONLINE,OK,US 301 HWN BRIDGE G16 C-318,7501a7710078002c0063d336c4235c0a,1729719295987
85,"ICC MD 200 EB, REDLAND RD, MM 3.9 (C203)",3.82,https://chart.maryland.gov/Video/GetVideo/7b011318000d0053004d06363d235daa,39.134834,-77.14553,MD,,200,['Wash. DC'],strmr5.sha.maryland.gov,ONLINE,OK,"ICC MD 200 EB, REDLAND RD, MM 3.9 (C-203)",7b011318000d0053004d06363d235daa,1729719295987
86,RWIS MD 135 AT MEADOW OAKS DR,19.27,https://chart.maryland.gov/Video/GetVideo/cc00bf4800bb00370056fa36c4235c0a,39.487007,-79.106895,MD,,135,['Western MD'],strmr3.sha.maryland.gov,ONLINE,OK,RWIS MD 135 AT MEADOW OAKS DR,cc00bf4800bb00370056fa36c4235c0a,1729719295987
87,I-95 S NORTH OF JOPPA RD MM 68.6 (C021A),83.04,https://chart.maryland.gov/Video/GetVideo/5601403c00860064004d06363d235daa,39.39696,-76.43159,IS,,95,['Baltimore'],strmr5.sha.maryland.gov,ONLINE,OK,C021A,5601403c00860064004d06363d235daa,1729719295987
88,US 50 E AT MD 90,138.73,https://chart.maryland.gov/Video/GetVideo/58004a9f0099007b00488436cf235d0a,38.36851,-75.2704,US,,50,['Eastern Shore'],strmr3.sha.maryland.gov,ONLINE,OK,US 50 E AT MD 90 (123006),58004a9f0099007b00488436cf235d0a,1729719295987
